test,milisegundos,mediciones
1,300,441.00
1,600,597.00
1,900,718.00
1,1200,894.00
1,1500,952.00
1,1800,1062.00
1,2100,1173.00
1,2400,1487.00
1,2700,1705.00
1,3000,1720.00
1,3300,1924.00
1,3600,2090.00
1,3900,2250.00
1,4200,2370.00
1,4500,2569.00
1,4800,2742.00
1,5100,2952.00
1,5400,3265.00
2,3300,478.00
2,3600,557.00
2,3900,618.00
2,4200,759.00
2,4500,874.00
2,4800,915.00
2,5100,970.00
2,5400,1044.00
2,5700,1137.00
2,6000,1192.00
2,6300,1284.00
2,6600,1387.00
2,6900,1504.00
2,7200,1622.00
2,7500,1705.00
2,7800,1825.00
2,8100,1910.00
2,8400,1954.00
2,8700,1954.00
2,9000,2015.00
2,9300,2157.00
2,9600,2276.00
2,9900,2303.00
2,10200,2396.00
2,10500,2396.00
2,10800,2511.00
2,11100,2476.00
2,11400,2523.00
2,11700,2592.00
2,12000,2673.00
2,12300,2777.00
2,12600,2981.00
2,12900,3180.00
2,13200,3258.00
3,900,328.00
3,1200,347.00
3,1500,478.00
3,1800,536.00
3,2100,577.00
3,2400,617.00
3,2700,638.00
3,3000,678.00
3,3300,819.00
3,3600,840.00
3,3900,860.00
3,4200,894.00
3,4500,951.00
3,4800,1044.00
3,5100,1155.00
3,5400,1284.00
3,5700,1571.00
3,6000,1734.00
3,6300,1795.00
3,6600,1908.00
3,6900,2014.00
3,7200,2089.00
3,7500,2209.00
3,7800,2342.00
3,8100,2382.00
3,8400,2487.00
3,8700,2556.00
3,9000,2649.00
3,9300,2765.00
3,9600,2911.00
3,9900,3139.00
3,10200,3257.00
