test,milisegundos,mediciones
1,1200,347.00
1,1500,384.00
1,1800,516.00
1,2100,800.00
1,2400,933.00
1,2700,1192.00
1,3000,1437.00
1,3300,1872.00
1,3600,2304.00
1,3900,2934.00
1,4200,3248.00
2,600,384.00
2,900,496.00
2,1200,618.00
2,1500,841.00
2,1800,1174.00
2,2100,1572.00
2,2400,1925.00
2,2700,2357.00
2,3000,2859.00
2,3300,3170.00
3,600,365.00
3,900,537.00
3,1200,820.00
3,1500,933.00
3,1800,1118.00
3,2100,1471.00
3,2400,1766.00
3,2700,2144.00
3,3000,2639.00
3,3300,3062.00
