test,milisegundos,mediciones
1,600,597.00
1,900,989.00
1,1200,1099.00
1,1500,1437.00
1,1800,1856.00
1,2100,2197.00
1,2400,2661.00
1,2700,3259.00
2,300,537.00
2,600,739.00
2,900,933.00
2,1200,1229.00
2,1500,1454.00
2,1800,1879.00
2,2100,2250.00
2,2400,2754.00
2,2700,3249.00
3,300,557.00
3,600,820.00
3,900,1007.00
3,1200,1303.00
3,1500,1751.00
3,1800,2343.00
3,2100,2801.00
3,2400,3258.00
