test,milisegundos,mediciones
1,600,366.00
1,800,536.00
1,1000,820.00
1,1200,951.00
1,1400,1266.00
1,1600,1720.00
1,1800,2182.00
1,2000,2753.00
1,2200,2972.00
1,2400,3257.00
2,800,347.00
2,1000,658.00
2,1200,860.00
2,1400,1265.00
2,1600,1735.00
2,1800,2169.00
2,2000,2800.00
2,2200,3282.00
3,1000,309.00
3,1200,497.00
3,1400,840.00
3,1600,1081.00
3,1800,1436.00
3,2000,1893.00
3,2200,2435.00
3,2400,3090.00
3,2600,3257.00
