test,milisegundos,mediciones
1,400,678.00
1,600,739.00
1,800,952.00
1,1000,1285.00
1,1200,1555.00
1,1400,1970.00
1,1600,2357.00
1,1800,2880.00
1,2000,3265.00
2,600,478.00
2,800,718.00
2,1000,914.00
2,1200,1137.00
2,1400,1437.00
2,1600,1795.00
2,1800,2143.00
2,2000,2650.00
2,2200,3160.00
3,200,658.00
3,400,933.00
3,600,1081.00
3,800,1655.00
3,1000,1795.00
3,1200,2196.00
3,1400,2580.00
3,1600,3149.00
