test,milisegundos,mediciones
1,1000,347.00
1,1200,577.00
1,1400,800.00
1,1600,1100.00
1,1800,1437.00
1,2000,1855.00
1,2200,2223.00
1,2400,2801.00
1,2800,3340.00
2,2000,478.00
2,2200,840.00
2,2400,1118.00
2,2600,1504.00
2,2800,1939.00
2,3000,2449.00
2,3200,3021.00
2,3400,3281.00
3,800,638.00
3,1000,933.00
3,1200,1192.00
3,1400,1487.00
3,1600,1924.00
3,1800,2396.00
3,2000,2897.00
3,2200,3282.00
